CustomerID,FirstName,LastName,Email,PhoneNumber,Address,DateOfBirth,Gender,RegistrationDate,Age
c24c93c2-6b6f-4a47-98c1-f0be7da12316,Christopher,West,christopher.west@yahoo.com,305.995.9865,"6229 Brianna Avenue, Pamelatown, AR, 96787",1964-12-07,Female,2020-12-31,61
0870636e-3c4a-49ae-b04e-040589002e8f,Christy,Hughes,christy.hughes@yahoo.com,+1-157-452-0541x6828,"80214 House Forest, Youngburgh, NV, 65588",1952-03-12,Male,2022-05-19,73
140edf79-fb7c-41b4-9bc3-b14ea1603ba9,Shawn,Hayes,shawn.hayes@hotmail.com,(475)765-1345x3253,"44843 Johnson Throughway, Vaughnton, MI, 48928",1962-10-29,Non-binary,2022-03-03,63
4b9ccfd4-373f-4665-8c47-0e263cbad01b,Christopher,Bowen,christopher.bowen@gmail.com,409.082.2023,"265 Joseph Course, Kevinville, CA, 71719",1983-06-11,Male,2020-09-14,42
1fe0a869-7f9d-458d-b60b-5319d8b671c2,Bobby,Graves,bobby.graves@yahoo.com,093-047-1067,"989 Horne Ville Apt. 125, Phillipstown, LA, 05863",2001-11-15,Female,2022-11-02,24
d079f113-bc94-4dc5-806a-c16a24657967,Karen,Lopez,karen.lopez@hotmail.com,(930)861-4891x230,"018 Eric Plains, Grimesborough, TX, 54399",1953-12-14,Female,2023-09-15,72
e1cf96e5-5b30-4b71-90bc-bc8caa15a4ec,Matthew,Curtis,matthew.curtis@yahoo.com,841.030.5700x933,"7433 Morgan Loop, New Danielleview, WV, 88796",1968-11-05,Non-binary,2020-09-04,57
6f0cff97-8400-45ef-a5be-22a4f382909a,Michael,Thomas,michael.thomas@hotmail.com,768-974-9478x21776,"675 Sheri Drives Apt. 614, Port Thomas, MI, 79603",1982-09-19,Female,2024-08-04,43
cefc53f7-8eba-4392-8ab2-55cb56a72cea,Steven,Shelton,steven.shelton@yahoo.com,813.818.8731,"230 Ronald Station, Butlerside, PA, 64684",1979-08-10,Male,2021-07-08,46
763dbc4c-cddf-4988-9cf4-6e8104155d09,Stephen,Berry,stephen.berry@hotmail.com,074-133-6880,"85122 Molina Square Suite 218, New Ryan, IN, 25292",1987-10-18,Non-binary,2024-04-06,38
7544247b-85bf-4519-93ae-c0143082974a,William,Villegas,william.villegas@gmail.com,+1-526-480-9403,"4858 Richard Ports, Grimeshaven, NV, 79761",1961-08-17,Male,2024-04-08,64
67e6a9d6-5ed4-44c1-b8c4-1cbacd102f42,Robert,Allen,robert.allen@gmail.com,+1-477-518-8421,"9900 Tammy Fields Apt. 362, North Emily, TN, 30690",1951-07-17,Non-binary,2023-07-22,74
d5dda72d-cfff-4692-8d20-b7e5427d0a7f,Crystal,Pearson,crystal.pearson@gmail.com,(473)941-3613,"67833 Gray Canyon, South Walterside, AL, 69642",1976-05-21,Female,2020-06-27,49
fb77c707-421b-455f-8620-05f6b3ebb3e3,Jessica,Stevenson,jessica.stevenson@gmail.com,831-862-3879,"8032 Kimberly Vista Apt. 551, South Laura, VA, 86024",1991-02-11,Female,2024-02-26,34
